Month,Min,Max
Jan,-9.7,9.4
Feb,-8.7,6.5
Mar,-3.5,9.4
Apr,-1.4,19.9
May,0.0,22.6
Jun,2.9,29.5
Jul,9.2,30.7
Aug,7.3,26.5
Sep,4.4,18.0
Oct,-3.1,11.4
Nov,-5.2,10.4
Dec,-13.5,9.8
